osmid,x,y
2289376908,73.3649399,55.0202029
2289376911,73.3648876,55.0168356
2289376915,73.3648089,55.0041949
2289376916,73.3651483,55.0168349
2289376918,73.3648422,55.0073478
2289376919,73.3649591,55.0228679
2289376921,73.3648604,55.0090359
2289376923,73.3650174,55.0057469
2289376924,73.3648552,55.0107663
2289376925,73.3649991,55.0041942
2289376927,73.3648257,55.0057478
2289376928,73.3649906,55.0034707
2289376933,73.3652007,55.0212762
2289376935,73.3652104,55.022061
2289376938,73.3648574,55.0133719
2289376942,73.3648573,55.0142356
2289376944,73.3650083,55.004972
2289376947,73.365188,55.020201
2289376948,73.3651194,55.0159658
2289376950,73.3648664,55.011641
2289376951,73.3648173,55.0049742
2289376954,73.3648228,55.0065095
2289376956,73.3650563,55.0090356
2289376957,73.3651074,55.0133705
2289376961,73.364819,55.001983
2289376963,73.3649562,55.021254
2289376966,73.3648775,55.0125057
2289376968,73.3648657,55.0151036
2289376971,73.3650667,55.0099253
2289376973,73.3651697,55.0186537
2289376976,73.3650261,55.006483
2289376981,73.3651794,55.0194715
2289376984,73.3651918,55.0205226
2289376987,73.3651609,55.0179038
2289376992,73.3651789,55.0228665
2289376995,73.3650363,55.0073464
2289377000,73.3651091,55.0150847
2289377002,73.365046,55.0081738
2289377005,73.364874,55.0159606
2289377008,73.3650766,55.0107646
2289377010,73.3649416,55.0205326
2291011647,73.3648007,55.0034415
2291014056,73.3863593,54.9871918
2291021927,73.3867513,54.9851994
2291021928,73.3865544,54.9861945
2291036767,73.3651176,55.0142371
2291053363,73.3025191,55.0228082
2291368021,73.365077,55.0107977
2291383589,73.3873888,54.9821112
2291383592,73.3892976,54.9732911
2291383596,73.388205,54.9782883
2291383604,73.3869442,54.9842255
2291411152,73.3897651,54.9709644
2291411158,73.3900638,54.9694814
2291411162,73.3921812,54.9653439
2291411166,73.3902563,54.9684295
2291411168,73.3893235,54.973153
2291477953,73.3984781,54.9760326
2291477958,73.3879997,54.9792437
2291477963,73.3889636,54.9811476
2293393800,73.387592,54.9811519
2293465209,73.4189726,54.9175202
2293550276,73.3649726,55.0220631
2295559692,73.3196849,55.016339
2295559695,73.3158959,55.0174441
2295559696,73.3134921,55.018412
2297166928,73.3544756,54.9966049
2307233958,73.3270153,54.9910818
2313777433,73.3734844,55.0080894
2313777435,73.3746225,55.009817
2313777439,73.3743811,55.0113281
2313777440,73.3756968,55.015883
2313777441,73.3757529,55.0184917
2313777442,73.3756979,55.0244156
2313794144,73.3841948,54.9132336
2313794146,73.3922042,54.9143991
2315478234,73.3212613,55.0259222
2321418317,73.3957169,54.9880368
2321479284,73.4039969,54.9835876
2321488285,73.3954664,54.979739
2321544171,73.3696594,54.9381891
2321544175,73.3703759,54.9391295
2326862919,73.4291366,55.0423147
2326989729,73.4379839,54.920646
2330197280,73.3181916,54.9418481
2330197285,73.3142308,54.9425096
2330199357,73.3894895,54.9885757
2332671635,73.2920915,54.9302938
2332671645,73.2913601,54.9315202
2332671656,73.292999,54.931818
2332671685,73.2916913,54.9329994
2332671689,73.2919014,54.9335432
2334105734,73.3991582,54.92255
2334109808,73.3885876,54.9132392
2334131945,73.4150301,54.9183962
2338248896,73.339835,55.0102617
2340763835,73.4480808,54.9884707
2340763837,73.4479687,54.9886561
2340763843,73.4474261,54.9893252
2342888265,73.3562074,54.9975496
2344157037,73.4823184,54.9249634
2344172999,73.3096908,54.9337194
2348887877,73.4445391,55.0200992
2349123329,73.4158312,54.9640083
2350640287,73.3543273,55.0121435
2350654372,73.3053007,55.0278056
2350654374,73.3049641,55.0278573
2352110303,73.2741497,54.995924
2362680755,73.498631,55.024556
2364309277,73.382126,54.9331497
2364309283,73.3833121,54.9343436
2366543589,73.3783155,54.9849332
2366543592,73.3786441,54.9851567
2366543593,73.3804894,54.9853582
2366543599,73.3777537,54.9856998
2368060332,73.4813207,54.9602894
2368672787,73.2976424,54.9811376
2368672816,73.3011477,54.9836007
2371481226,73.4089598,54.9732777
2371481228,73.4087349,54.9732636
2371512227,73.4563838,55.0329719
2371512243,73.4566104,55.0333726
2371512477,73.4297167,55.0535782
2374543642,73.3529334,54.9132086
2388119367,73.3851983,55.0401282
2388448755,73.3754473,55.0194483
2389483468,73.3980785,54.9372407
2389483471,73.395962,54.937263
2389536736,73.3449325,55.0102988
2391380838,73.4081405,54.9762295
2392802721,73.3757951,54.9894385
2393497791,73.3694616,54.9188943
2398039738,73.2970832,54.9750008
2398039743,73.2963061,54.9762054
2398039756,73.2915658,54.9772608
2400048756,73.3555644,55.0050938
2400048772,73.3551378,55.0053597
2400048774,73.3553018,55.0055531
2402109127,73.4148372,54.9912147
2404422747,73.4092131,54.9197906
2407114671,73.3219629,54.9815472
2407120545,73.3150629,54.9845139
2407120546,73.3181469,54.9831935
2407120550,73.3134259,54.9852092
2411687914,73.392808,55.0065419
2420565803,73.315799,55.0274068
2426446448,73.3452311,55.0319096
2426446499,73.3493974,55.0348567
2426583722,73.4091666,54.934836
2427947438,73.3406908,54.9749887
2431842027,73.4433529,54.9132875
2434762672,73.3118965,54.9292397
2434762674,73.3105772,54.9293079
2435384880,73.3162471,54.9396537
2438991784,73.3112704,55.0231845
2444339971,73.3563671,55.0235308
2444339973,73.3546551,55.0234983
2444339975,73.3546057,55.0235222
2444339976,73.3563177,55.0236802
2444339982,73.3649774,55.0237392
2444339989,73.3626965,55.0237715
2444396175,73.4740383,54.924196
