u,v
410378171,410378172
410378172,1488421160
410378172,410378387
410378172,410378174
410378172,410378171
410378174,410377469
410378174,410378172
410378174,1594283234
410378383,410378385
410378383,410386998
410378383,1446835547
410378385,410378386
410378385,2241201355
410378385,410378170
410378385,410378383
410378386,410378385
410378386,410378171
410378386,410378506
410378386,410378387
410378387,410378172
410378387,410378507
410378387,410377469
410378387,410378386
410378505,2241201355
410378505,410379174
410378505,410378506
410378505,410390305
410378506,410378507
410378506,410378386
410378506,410379176
410378506,410378505
410378507,410378506
410378507,410378387
410378507,410379181
410378507,410378508
410378508,410379709
410378508,410378507
410378508,456903021
410378508,1652422096
410378510,410379858
410378510,410377471
410378510,410376296
410379171,410390306
410379174,410390306
410379174,410378505
410379174,410379176
410379176,410379181
410379176,410378506
410379176,410379174
410379176,410234704
410379181,1069067605
410379181,410379176
410379181,410378507
410379181,2344157037
410379705,410380245
410379705,410379855
410379705,410380244
410379709,410379858
410379709,410378508
410379709,456903019
410379855,410380246
410379855,410379705
410379855,410380248
410379856,410382166
410379856,2444396178
410379856,2444396175
410379858,2470866582
410379858,410378510
410379858,410379709
410380244,410380245
410380244,410379705
410380244,410380875
410380245,410380877
410380245,410379705
410380245,410380246
410380245,410380244
410380246,410380880
410380246,410379855
410380246,410380245
410380246,410380248
410380248,410380888
410380248,410379855
410380248,410380246
410380875,410380877
410380875,410380244
410380875,410382164
410380877,410382165
410380877,410380245
410380877,410380880
410380877,410380875
410380880,410382166
410380880,410380246
410380880,410380888
410380880,410380877
410380888,410382170
410380888,410380248
410380888,410380880
410382164,410382165
410382164,410380875
410382164,612933804
410382165,465353165
410382165,410380877
410382165,410382166
410382165,410382164
410382166,410379856
410382166,410380880
410382166,410382170
410382166,410382165
410382170,410380888
410382170,410382166
410382170,1652422060
410382224,410383131
410382224,410384347
410382224,612933809
410382225,410234704
410382225,410384351
410382225,410383082
410382225,410383118
410382618,410383057
410382618,410382624
410382618,612933807
410382624,410382618
410382624,410383059
410382624,2344157037
410383057,410382618
410383057,410383082
410383057,410383059
410383059,410383057
410383059,410383084
410383059,410382624
410383082,410383057
410383082,410382225
410383082,410383084
410383084,410383059
410383084,410383082
410383084,410234704
410383118,410383131
410383118,410382225
410383118,410383120
410383120,410383133
410383120,410383118
410383120,410234704
410383130,410383131
410383130,410384351
410383130,410384347
410383131,410383118
410383131,410382224
410383131,410383133
410383131,410383130
410383133,612933809
410383133,410383120
410383133,410383131
410384347,410385587
410384347,410382224
410384347,410383130
410384347,410385586
410384351,410382225
410384351,410235296
410384351,410383130
410385559,410386204
410385559,410385619
410385559,410385601
410385562,410386866
410385562,410386789
410385586,410385602
